algorithm,n_runs,accuracy_mean,adjusted_rand_index_vs_true_labels_mean,avg_reward_all_episodes_mean,avg_reward_last_50_episodes_mean,clusters_found_mean,cpu_percent_max_mean,cpu_percent_mean_mean,episodes_mean,epochs_mean,eps_mean,f1_score_mean,final_epsilon_mean,memory_mb_max_mean,memory_mb_mean_mean,min_samples_mean,n_clusters_mean,n_epochs_mean,n_estimators_mean,n_samples_mean,n_states_mean,noise_points_mean,noise_ratio_mean,normalized_mutual_info_vs_true_labels_mean,precision_mean,recall_mean,roc_auc_mean,silhouette_score_mean,success_rate_last_500_episodes_mean,svd_components_mean,svd_dim_mean,test_samples_mean,throughput_episodes_per_second_mean,throughput_samples_per_second_mean,train_samples_mean,training_time_seconds_mean,vocab_size_mean,accuracy_std,adjusted_rand_index_vs_true_labels_std,avg_reward_all_episodes_std,avg_reward_last_50_episodes_std,clusters_found_std,cpu_percent_max_std,cpu_percent_mean_std,episodes_std,epochs_std,eps_std,f1_score_std,final_epsilon_std,memory_mb_max_std,memory_mb_mean_std,min_samples_std,n_clusters_std,n_epochs_std,n_estimators_std,n_samples_std,n_states_std,noise_points_std,noise_ratio_std,normalized_mutual_info_vs_true_labels_std,precision_std,recall_std,roc_auc_std,silhouette_score_std,success_rate_last_500_episodes_std,svd_components_std,svd_dim_std,test_samples_std,throughput_episodes_per_second_std,throughput_samples_per_second_std,train_samples_std,training_time_seconds_std,vocab_size_std
dbscan,5,,-0.0007,,,2.0,137.14,82.37,,,0.3,,,3293.402,1062.394,10.0,,,,44898.0,,29.2,0.0006,0.0081,,,,,,50.0,,,,199.324,,227.3472,,,0.0,,,0.0,18.4974,2.3975,,,0.0,,,22.6667,17.1104,0.0,,,,0.0,,3.6332,0.0001,0.0,,,,,,0.0,,,,20.9733,,24.9099,
deeptext,5,0.9986,,,,,214.32,99.81,,3.0,,0.9985,,1220.73,1168.958,,,,,,,,,,0.999,0.998,1.0,,,,,8980.0,,56.532,35918.0,786.3184,20000.0,0.0002,,,,,51.5756,47.4539,,0.0,,0.0002,,4.6301,3.2792,,,,,,,,,,0.0002,0.0004,0.0,,,,,0.0,,28.1694,0.0,397.4741,0.0
dqn,5,,,63.544,111.892,,115.42,97.734,300.0,,,,0.2223,937.8,737.024,,,,,,,,,,,,,,,,,,0.05,,,6297.6632,,,,12.978,40.7056,,1.6529,4.6598,0.0,,,,0.0,78.8171,27.1108,,,,,,,,,,,,,,,,,,0.0141,,,1578.6063,
dqn_bandit,5,0.9871,,,,,230.2,99.744,,,,0.9864,0.01,1733.356,1238.294,,,2.0,,,,,,,0.9893,0.9836,0.9972,,,,100.0,8980.0,,7.538,35918.0,9578.0734,,0.0013,,,,,90.4733,3.0447,,,,0.0014,0.0,69.0814,15.5795,,,0.0,,,,,,,0.0023,0.0039,0.0004,,,,0.0,0.0,,0.5895,0.0,751.5208,
kmeans,5,,0.0237,,,,82.16,52.6,,,,,,1678.644,927.642,,2.0,,,44898.0,,,,0.0162,,,,0.0565,,100.0,,,,123.416,,367.7102,,,0.001,,,,8.9139,8.1034,,,,,,48.0226,23.4744,,0.0,,,0.0,,,,0.0007,,,,0.0001,,0.0,,,,14.2108,,42.7287,
logistic_regression,5,0.9907,,,,,561.46,45.334,,,,0.9903,,1409.0,780.93,,,,,,,,,,0.9887,0.9919,0.9991,,,,,8980.0,,140.6,35918.0,256.7202,,0.0008,,,,,1082.3406,2.3358,,,,0.0008,,38.643,12.7522,,,,,,,,,,0.0009,0.0013,0.0001,,,,,0.0,,10.9638,0.0,20.21,
random_forest,5,0.9978,,,,,187.16,75.852,,,,0.9977,,1399.384,982.178,,,,300.0,,,,,,0.9977,0.9977,0.9999,,,,,8980.0,,45.472,35918.0,845.5842,,0.0005,,,,,25.4494,23.5197,,,,0.0006,,70.6783,33.5223,,,,0.0,,,,,,0.0008,0.0014,0.0001,,,,,0.0,,13.7611,0.0,230.1374,
sarsa,5,,,0.1664,,,46.52,34.194,5000.0,,,,0.082,133.968,133.89,,,,,,,,,,,,,,0.3816,,,,492.968,,,10.286,,,,0.007,,,7.5304,3.7841,0.0,,,,0.0,0.1999,0.1994,,,,,,,,,,,,,,0.0309,,,,68.7864,,,1.2884,
sarsa_bandit,5,0.8668,,,,,87.12,53.318,,,,0.8633,0.01,1384.074,838.58,,,3.0,,,100.0,,,,0.8461,0.8814,0.9282,,,,,8980.0,,303.298,35918.0,359.5264,,0.0032,,,,,12.8135,6.4837,,,,0.003,0.0,66.4434,11.9649,,,0.0,,,0.0,,,,0.0116,0.0133,0.0036,,,,,0.0,,36.8943,0.0,43.8302,
svm,5,0.9963,,,,,81.58,47.764,,,,0.9962,,1420.516,846.396,,,,,,,,,,0.9964,0.9959,0.9998,,,,,8980.0,,115.294,35918.0,313.0322,,0.0004,,,,,5.5536,3.8576,,,,0.0004,,53.9568,14.2023,,,,,,,,,,0.0008,0.0007,0.0001,,,,,0.0,,8.8207,0.0,24.5584,
